	Wolfgang Kindler (I)
, 0	Wolfgang Kindler (II)
, 0	Wolfgang Kindt
, 0	Wolfgang King
, 0	Wolfgang Kirchhof
, 0	Wolfgang Kirchner (I)
, 0	Wolfgang Kistermann
, 4	Wolfgang Klapper
, 0	Wolfgang Klar
, 0	Wolfgang Klaue
, 0	Wolfgang Klawohn
, 35327312	Wolfgang Kleff
, 2	Wolfgang Klein (I)
, 0	Wolfgang Klein (II)
, 0	Wolfgang Klein (IV)
, 0	Wolfgang Klein (IX)
, 0	Wolfgang Klein (V)
, 0	Wolfgang Klein (VI)
, 0	Wolfgang Klein (VIII)
, 0	Wolfgang Klein-Richter
, 0	Wolfgang Kleinertz
, 0	Wolfgang Klingler
, 0	Wolfgang Klivana
, 0	Wolfgang Klose (II)
, 0	Wolfgang Klosinski
, 0	Wolfgang Kloth
, 0	Wolfgang Klotz
, 0	Wolfgang Kluge (I)
, 0	Wolfgang Kluge (II)
, 0	Wolfgang Kner
, 2	Wolfgang Knickel
, 0	Wolfgang Knirsch
, 0	Wolfgang Knoche
, 0	Wolfgang Knopp
, 0	Wolfgang Koch (I)
, 0	Wolfgang Koch (V)
, 0	Wolfgang Koch (VII)
, 0	Wolfgang Kockrow
, 0	Wolfgang Kohla
, 0	Wolfgang Kohlhaase
, 0	Wolfgang Komzak
, 0	Wolfgang Kopper
, 0	Wolfgang Korruhn
, 0	Wolfgang Kos
, 0	Wolfgang Kosmata
, 2	Wolfgang Kostal
, 0	Wolfgang Kostial
, 0	Wolfgang Kotissek
, 0	Wolfgang Kottke
, 0	Wolfgang Kottsieper
, 0	Wolfgang Kraft
, 0	Wolfgang Kratschmer
, 0	Wolfgang Kratz (II)
, 0	Wolfgang Krause (II)
, 0	Wolfgang Krause (IV)
, 0	Wolfgang Krause Zwieback
, 0	Wolfgang Krause-Zwieback
, 0	Wolfgang Kraushaar
, 0	Wolfgang Krauss
, 0	Wolfgang Krautwig
, 2	Wolfgang Kraßnitzer
, 0	Wolfgang Krebs (I)
, 0	Wolfgang Kreft
, 0	Wolfgang Kreikenbohm
, 0	Wolfgang Krejar
, 0	Wolfgang Krens
, 0	Wolfgang Kres
, 0	Wolfgang Kreuzer (I)
, 2	Wolfgang Krewe
, 0	Wolfgang Krisel
, 0	Wolfgang Kroll
, 3	Wolfgang Krone
, 0	Wolfgang Krüger (V)
, 0	Wolfgang Kubicki
, 0	Wolfgang Kudrnofsky
, 0	Wolfgang Kugler
, 0	Wolfgang Kuhle
, 2	Wolfgang Kuhlman
, 0	Wolfgang Kuhlow
, 0	Wolfgang Kuhnemann
, 0	Wolfgang Kulow
, 0	Wolfgang Kundt
, 0	Wolfgang Kuzmits
, 0	Wolfgang Kählert
, 0	Wolfgang Köhler (II)
, 0	Wolfgang Köhler (III)
, 0	Wolfgang Kömpf
, 0	Wolfgang Köpke
, 0	Wolfgang Köppen
, 0	Wolfgang Küchler
, 0	Wolfgang Kück (I)
, 0	Wolfgang Kück (II)
, 5	Wolfgang Kühne (I)
, 2	Wolfgang Kühne (II)
, 0	Wolfgang Künzel
, 0	Wolfgang Küpper
, 0	Wolfgang Laab (II)
, 0	Wolfgang Lackner (II)
